成交量,涨价房源,降价房源,日期,周几
57,75,621,2025-01-17,周五
77,69,725,2025-01-16,周四
94,1,10,2025-01-15,周三
69,52,611,2025-01-14,周二
81,99,1400,2025-01-13,周一
183,124,1057,2025-01-12,周日
159,76,1066,2025-01-11,周六
76,85,1002,2025-01-10,周五
75,122,1216,2025-01-09,周四
85,103,1331,2025-01-08,周三
73,65,940,2025-01-07,周二
122,155,2199,2025-01-06,周一
199,128,1211,2025-01-05,周日
151,124,1251,2025-01-04,周六
71,113,1238,2025-01-03,周五
85,157,1313,2025-01-02,周四
140,85,891,2025-01-01,周三
60,81,947,2024-12-31,周二
104,137,2318,2024-12-30,周一
227,114,1168,2024-12-29,周日
161,109,1210,2024-12-28,周六
103,99,1372,2024-12-27,周五
86,99,1370,2024-12-26,周四
90,95,1408,2024-12-25,周三
91,83,1002,2024-12-24,周二
105,117,2225,2024-12-23,周一
230,125,1047,2024-12-22,周日
172,133,1004,2024-12-21,周六
87,122,1324,2024-12-20,周五
96,111,1267,2024-12-19,周四
103,135,1540,2024-12-18,周三
124,83,917,2024-12-17,周二
127,144,2071,2024-12-16,周一
292,129,1141,2024-12-15,周日
226,111,1159,2024-12-14,周六
108,123,1293,2024-12-13,周五
116,114,1348,2024-12-12,周四
104,158,1742,2024-12-11,周三
118,113,835,2024-12-10,周二
129,144,2214,2024-12-09,周一
282,112,1127,2024-12-08,周日
209,130,1105,2024-12-07,周六
118,128,1239,2024-12-06,周五
104,121,1311,2024-12-05,周四
112,123,1537,2024-12-04,周三
111,86,1051,2024-12-03,周二
150,129,1777,2024-12-02,周一
281,144,1272,2024-12-01,周日
212,144,1372,2024-11-30,周六
121,139,1518,2024-11-29,周五
105,145,1786,2024-11-28,周四
134,141,1979,2024-11-27,周三
112,95,1097,2024-11-26,周二
133,123,2193,2024-11-25,周一
329,117,1306,2024-11-24,周日
230,110,1182,2024-11-23,周六
123,103,1447,2024-11-22,周五
127,137,1495,2024-11-21,周四
105,106,1135,2024-11-20,周三
133,112,948,2024-11-19,周二
173,149,1932,2024-11-18,周一
333,122,1143,2024-11-17,周日
278,121,1065,2024-11-16,周六
117,149,1279,2024-11-15,周五
153,134,1304,2024-11-14,周四
142,142,1609,2024-11-13,周三
145,97,1013,2024-11-12,周二
176,202,1993,2024-11-11,周一
