成交量,涨价房源,降价房源,日期,周几
127,144,2071,2024-12-16,周一
292,129,1141,2024-12-15,周日
226,111,1159,2024-12-14,周六
108,123,1293,2024-12-13,周五
116,114,1348,2024-12-12,周四
104,158,1742,2024-12-11,周三
118,113,835,2024-12-10,周二
129,144,2214,2024-12-09,周一
282,112,1127,2024-12-08,周日
209,130,1105,2024-12-07,周六
118,128,1239,2024-12-06,周五
104,121,1311,2024-12-05,周四
112,123,1537,2024-12-04,周三
111,86,1051,2024-12-03,周二
150,129,1777,2024-12-02,周一
281,144,1272,2024-12-01,周日
212,144,1372,2024-11-30,周六
121,139,1518,2024-11-29,周五
105,145,1786,2024-11-28,周四
134,141,1979,2024-11-27,周三
112,95,1097,2024-11-26,周二
133,123,2193,2024-11-25,周一
329,117,1306,2024-11-24,周日
230,110,1182,2024-11-23,周六
123,103,1447,2024-11-22,周五
127,137,1495,2024-11-21,周四
105,106,1135,2024-11-20,周三
133,112,948,2024-11-19,周二
173,149,1932,2024-11-18,周一
333,122,1143,2024-11-17,周日
278,121,1065,2024-11-16,周六
117,149,1279,2024-11-15,周五
153,134,1304,2024-11-14,周四
142,142,1609,2024-11-13,周三
145,97,1013,2024-11-12,周二
176,202,1993,2024-11-11,周一
356,159,1099,2024-11-10,周日
237,132,1138,2024-11-09,周六
144,110,1195,2024-11-08,周五
144,139,1450,2024-11-07,周四
140,118,1463,2024-11-06,周三
140,110,987,2024-11-05,周二
171,144,1986,2024-11-04,周一
312,128,1125,2024-11-03,周日
209,132,1123,2024-11-02,周六
136,134,1385,2024-11-01,周五
138,121,1600,2024-10-31,周四
135,146,1809,2024-10-30,周三
134,100,1235,2024-10-29,周二
131,159,2262,2024-10-28,周一
324,154,1373,2024-10-27,周日
